PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,PARROQUIA_ESTADO
13,MANABI,480,CHONE,380,BOYACA,RURAL
11,LOJA,815,CHAGUARPAMBA,385,BUENAVISTA,RURAL
7,EL ORO,365,PASAJE,390,BUENAVISTA,RURAL
1,AZUAY,275,PAUTE,395,BULAN/JVICTOR IZQUIERDO,RURAL
22,ORELLANA,935,LORETO,400,SAN VICENTE DE HUATICOCHA,RURAL
13,MANABI,480,CHONE,405,CHIBUNGA,RURAL
6,CHIMBORAZO,200,GUANO,410,VALPARAISO,RURAL
22,ORELLANA,725,JOYA DE LOS SACHAS,415,SAN CARLOS,RURAL
6,CHIMBORAZO,195,RIOBAMBA,420,CACHA,RURAL
10,IMBABURA,55,URCUQUI,425,CAHUASQUI,RURAL
17,PICHINCHA,60,QUITO,430,CALACALI,RURAL
8,ESMERALDAS,580,SAN LORENZO,435,CALDERON,RURAL
17,PICHINCHA,60,QUITO,440,CALDERON,RURAL
6,CHIMBORAZO,195,RIOBAMBA,445,CALPI,RURAL
8,ESMERALDAS,560,ESMERALDAS,450,CAMARONES,RURAL
19,ZAMORA CHINCHIPE,981,PAQUISHA,455,BELLAVISTA,RURAL
13,MANABI,495,PAJAN,460,CAMPOZANO,RURAL
5,COTOPAXI,115,SAQUISILI,465,CANCHAGUA,RURAL
13,MANABI,477,SAN VICENTE,470,CANOA,RURAL
16,PASTAZA,680,PASTAZA,475,CANELOS,RURAL
17,PICHINCHA,65,CAYAMBE,480,CANGAHUA,RURAL
11,LOJA,310,PALTAS,485,CANGONAMA,RURAL
22,ORELLANA,725,JOYA DE LOS SACHAS,490,ENOKANQUI,RURAL
13,MANABI,480,CHONE,495,CANUTO,RURAL
6,CHIMBORAZO,205,COLTA,500,CANI,RURAL
7,EL ORO,370,PINAS,505,CAPIRO,RURAL
22,ORELLANA,630,AGUARICO,510,CAP. AUGUSTO RIVADENEIRA,RURAL
6,CHIMBORAZO,220,CHUNCHI,515,CAPZOL,RURAL
12,LOS RIOS,515,BABAHOYO,520,CARACOL,RURAL
14,MORONA SANTIAGO,611,LOGRONO,525,SHIMPIS,RURAL
10,IMBABURA,30,IBARRA,530,CAROLINA /GUALLUPI,RURAL
8,ESMERALDAS,580,SAN LORENZO,535,CARONDELET,RURAL
13,MANABI,495,PAJAN,540,CASCOL,RURAL
11,LOJA,310,PALTAS,545,SAN ANTONIO,RURAL
11,LOJA,295,ZAPOTILLO,550,CAZADEROS,RURAL
6,CHIMBORAZO,210,GUAMOTE,555,CEBADAS,RURAL
13,MANABI,455,JIPIJAPA,560,LA UNION,RURAL
11,LOJA,330,PUYANGO,565,CIANO,RURAL
8,ESMERALDAS,580,SAN LORENZO,570,5 DE JUNIO/HUIMBI,RURAL
1,AZUAY,885,NABON,575,COCHAPATA,RURAL
13,MANABI,910,PEDERNALES,580,COJIMIES,RURAL
3,CANAR,235,AZOGUES,585,COJITAMBO,RURAL
11,LOJA,320,CALVAS,590,COLAIZACA,RURAL
14,MORONA SANTIAGO,926,TAISHA,595,HUASAGA /WAMPUIK,RURAL
21,SUCUMBIOS,720,SHUSHUFINDI,600,SAN PEDRO DE LOS COFANES,RURAL
9,GUAYAS,410,SANTA ELENA,605,COLONCHE,RURAL
6,CHIMBORAZO,205,COLTA,610,COLUMBE,RURAL
6,CHIMBORAZO,220,CHUNCHI,615,COMPUD,RURAL
8,ESMERALDAS,580,SAN LORENZO,620,CONCEPCION,RURAL
17,PICHINCHA,60,QUITO,625,CONOCOTO,RURAL
22,ORELLANA,630,AGUARICO,630,CONONACO,RURAL
18,TUNGURAHUA,135,AMBATO,635,CONSTANTINO FERNANDEZ,RURAL
13,MANABI,480,CHONE,640,CONVENTO,RURAL
14,MORONA SANTIAGO,605,SANTIAGO,645,COPAL,RURAL
17,PICHINCHA,70,MEJIA,650,CORNEJO ASTORGA /TANDAPI,RURAL
8,ESMERALDAS,560,ESMERALDAS,655,CRNL.CARLOS CONCHA TORRES,RURAL
9,GUAYAS,790,SIMON BOLIVAR,660,CRNEL. LORENZO GARAICOA,RURAL
19,ZAMORA CHINCHIPE,775,EL PANGUI,665,EL GUISMI,RURAL
15,NAPO,635,QUIJOS,670,COSANGA,RURAL
18,TUNGURAHUA,140,PELILEO,675,COTALO,RURAL
17,PICHINCHA,80,RUMINAHUI,680,COTOGCHOA,RURAL
15,NAPO,700,ARCHIDONA,685,COTUNDO,RURAL
4,CARCHI,10,MONTUFAR,690,CRISTOBAL COLON,RURAL
11,LOJA,315,CELICA,695,CRUZPAMBA/BUSTAMANTE,RURAL
8,ESMERALDAS,575,QUININDE,700,CUBE / CHANCAMA,RURAL
6,CHIMBORAZO,195,RIOBAMBA,705,CUBIJIES,RURAL
14,MORONA SANTIAGO,925,SAN JUAN BOSCO,710,SAN JACINTO DE WAKAMBEIS,RURAL
14,MORONA SANTIAGO,615,PALORA,715,CUMANDA,RURAL
19,ZAMORA CHINCHIPE,655,ZAMORA,720,CUMBARATZA,RURAL
17,PICHINCHA,60,QUITO,725,CUMBAYA,RURAL
1,AZUAY,260,CUENCA,730,CUMBE,RURAL
16,PASTAZA,881,ARAJUNO,735,CURARAY,RURAL
7,EL ORO,690,PORTOVELO,740,CURTINCAPA,RURAL
5,COTOPAXI,110,SALCEDO,745,CUSUBAMBA,RURAL
1,AZUAY,280,SIGSIG,750,CUTCHIL,RURAL
17,PICHINCHA,70,MEJIA,755,CUTUGLAGUA,RURAL
21,SUCUMBIOS,626,CUYABENO,760,CUYABENO,RURAL
15,NAPO,635,QUIJOS,765,CUYUJA,RURAL
13,MANABI,440,PORTOVIEJO,770,CRUCITA,RURAL
7,EL ORO,365,PASAJE,775,CANAQUEMADA,RURAL
21,SUCUMBIOS,720,SHUSHUFINDI,780,SIETE DE JULIO,RURAL
13,MANABI,910,PEDERNALES,785,ATAHUALPA,RURAL
11,LOJA,340,ESPINDOLA,790,EL INGENIO,RURAL
2,BOLIVAR,165,GUARANDA,795,SAN LUIS DE PAMBIL,RURAL
18,TUNGURAHUA,135,AMBATO,800,CUNCHIBAMBA,RURAL
7,EL ORO,375,ARENILLAS,805,CHACRAS,RURAL
18,TUNGURAHUA,135,AMBATO,810,UNAMUNCHO,RURAL
5,COTOPAXI,930,SIGCHOS,815,PALO QUEMADO,RURAL
9,GUAYAS,410,SANTA ELENA,820,CHANDUY,RURAL
11,LOJA,335,GONZANAMA,825,CHANGAIMINA /LA LIBERTAD,RURAL
5,COTOPAXI,115,SAQUISILI,830,CHANTILIN,RURAL
11,LOJA,730,PINDAL,835,CHAQUINAL,RURAL
13,MANABI,475,SUCRE,840,CHARAPOTO,RURAL
1,AZUAY,260,CUENCA,845,CHAUCHA/ANGAS,RURAL
17,PICHINCHA,70,MEJIA,850,CHAUPI,RURAL
17,PICHINCHA,60,QUITO,855,CHAVEZPAMBA,RURAL
1,AZUAY,260,CUENCA,860,CHECA JIDCAY,RURAL
17,PICHINCHA,60,QUITO,865,CHECA,RURAL
1,AZUAY,275,PAUTE,870,CHICAN / GUILLERMO ORTEGA,RURAL
14,MORONA SANTIAGO,795,HUAMBOYA,875,CHIGUAZA,RURAL
14,MORONA SANTIAGO,595,GUALAQUIZA,880,CHIGUINDA,RURAL
1,AZUAY,270,GIRON,885,SAN GERARDO,RURAL
1,AZUAY,275,PAUTE,890,DUG-DUG,RURAL
8,ESMERALDAS,560,ESMERALDAS,895,CHINCA,RURAL
18,TUNGURAHUA,140,PELILEO,900,CHIQUICHA,RURAL
1,AZUAY,260,CUENCA,905,CHIQUINTAD,RURAL
4,CARCHI,10,MONTUFAR,910,CHITAN DE NAVARRETES,RURAL
19,ZAMORA CHINCHIPE,660,CHINCHIPE,915,CHITO,RURAL
9,GUAYAS,420,MILAGRO,920,CHOBO,RURAL
6,CHIMBORAZO,225,PENIPE,925,LA CANDELARIA,RURAL
8,ESMERALDAS,561,RIO VERDE,930,CHONTADURO,RURAL
3,CANAR,240,CANAR,935,CHONTAMARCA,RURAL
15,NAPO,620,TENA,940,CHONTAPUNTA,RURAL
19,ZAMORA CHINCHIPE,775,EL PANGUI,945,TUNDAYME,RURAL
3,CANAR,240,CANAR,950,CHOROCOPTE,RURAL
10,IMBABURA,50,PIMAMPIRO,955,CHUGA,RURAL
5,COTOPAXI,930,SIGCHOS,960,CHUGCHILAN,RURAL
8,ESMERALDAS,561,RIO VERDE,965,CHUMUNDE,RURAL
14,MORONA SANTIAGO,605,SANTIAGO,970,CHUPIANZA,RURAL
11,LOJA,300,LOJA,975,CHUQUIRIBAMBA,RURAL
8,ESMERALDAS,575,QUININDE,980,CHURA,RURAL
19,ZAMORA CHINCHIPE,670,YANZATZA,985,CHICANA,RURAL
5,COTOPAXI,115,SAQUISILI,990,COCHAPAMBA,RURAL
11,LOJA,310,PALTAS,995,CASANGA,RURAL
11,LOJA,310,PALTAS,1000,YAMANA,RURAL
1,AZUAY,265,GUALACEO,1005,DANIEL CORDOVA TORAL,RURAL
8,ESMERALDAS,570,MUISNE,1010,DAULE,RURAL
19,ZAMORA CHINCHIPE,775,EL PANGUI,1015,PACHICUTZA,RURAL
15,NAPO,255,EL CHACO,1020,GONZALO DIAZ DE PINEDA,RURAL
16,PASTAZA,680,PASTAZA,1025,10 DE AGOSTO,RURAL
13,MANABI,910,PEDERNALES,1030,10 DE AGOSTO,RURAL
11,LOJA,730,PINDAL,1035,12 DE DICIEMBRE,RURAL
10,IMBABURA,35,OTAVALO,1040,DR MIGUEL EGAS/PEGUCHE,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1045,DURENO,RURAL
22,ORELLANA,935,LORETO,1050,PUERTO MURIALDO,RURAL
4,CARCHI,25,BOLIVAR,1055,SAN RAFAEL,RURAL
13,MANABI,840,PICHINCHA,1060,SAN SEBASTIAN,RURAL
13,MANABI,840,PICHINCHA,1065,BARRAGANETE,RURAL
13,MANABI,500,EL CARMEN,1070,WILFRIDO LOOR MOREIRA,RURAL
7,EL ORO,755,LAS LAJAS,1075,SAN ISIDRO,RURAL
7,EL ORO,755,LAS LAJAS,1080,EL PARAISO,RURAL
3,CANAR,245,BIBLIAN,1085,JERUSALEN,RURAL
21,SUCUMBIOS,865,GONZALO PIZARRO,1090,GONZALO PIZARRO,RURAL
21,SUCUMBIOS,745,CASCALES,1095,SEVILLA,RURAL
7,EL ORO,755,LAS LAJAS,1100,LA LIBERTAD,RURAL
13,MANABI,470,SANTA ANA,1105,SAN PABLO,RURAL
6,CHIMBORAZO,225,PENIPE,1110,EL ALTAR,RURAL
13,MANABI,455,JIPIJAPA,1115,EL ANEGADO,RURAL
19,ZAMORA CHINCHIPE,981,PAQUISHA,1120,NUEVO QUITO,RURAL
4,CARCHI,5,TULCAN,1125,EL CARMELO/EL PUN/,RURAL
1,AZUAY,285,SANTA ISABEL,1130,EL CARMEN DE PIJILI,RURAL
11,LOJA,300,LOJA,1135,EL CISNE,RURAL
14,MORONA SANTIAGO,610,SUCUA,1140,SANTA MARIANITA DE JESUS,RURAL
19,ZAMORA CHINCHIPE,660,CHINCHIPE,1145,EL CHORRO,RURAL
4,CARCHI,15,ESPEJO,1150,EL GOALTAL / LAS JUNTAS,RURAL
11,LOJA,330,PUYANGO,1155,EL LIMO /MARIANA DE JESUS,RURAL
13,MANABI,480,CHONE,1160,ELOY ALFARO,RURAL
11,LOJA,305,SARAGURO,1165,EL PARAISO DE CELEN,RURAL
21,SUCUMBIOS,640,SUCUMBIOS,1170,EL PLAYON DE SN. FRANCISCO,RURAL
1,AZUAY,885,NABON,1175,EL PROGRESO,RURAL
11,LOJA,815,CHAGUARPAMBA,1180,EL ROSARIO,RURAL
18,TUNGURAHUA,140,PELILEO,1185,EL ROSARIO /RUMICHACA,RURAL
11,LOJA,305,SARAGURO,1190,EL TABLON,RURAL
4,CARCHI,5,TULCAN,1195,EL CHICAL,RURAL
11,LOJA,290,CATAMAYO,1200,EL TAMBO,RURAL
14,MORONA SANTIAGO,926,TAISHA,1205,TUTINENTZA,RURAL
18,TUNGURAHUA,145,PILLARO,1210,EMILIO MARIA TERAN,RURAL
10,IMBABURA,35,OTAVALO,1215,EUGENIO ESPEJO,RURAL
20,GALAPAGOS,800,SAN CRISTOBAL,1220,EL PROGRESO,RURAL
7,EL ORO,365,PASAJE,1225,PROGRESO,RURAL
11,LOJA,320,CALVAS,1230,EL LUCERO,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1235,DAYUMA,RURAL
19,ZAMORA CHINCHIPE,661,PALANDA,1240,EL PORVENIR DEL CARMEN,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1245,TARACOA,RURAL
14,MORONA SANTIAGO,590,MORONA,1250,CUCHAENTZA,RURAL
2,BOLIVAR,165,GUARANDA,1255,FACUNDO VELA,RURAL
16,PASTAZA,680,PASTAZA,1260,FATIMA,RURAL
12,LOS RIOS,515,BABAHOYO,1265,FEBRES CORDERO,RURAL
4,CARCHI,10,MONTUFAR,1270,FERNANDEZ SALVADOR,RURAL
16,PASTAZA,680,PASTAZA,1275,EL TRIUNFO,RURAL
6,CHIMBORAZO,195,RIOBAMBA,1280,FLORES,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1285,EL ENO,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1290,PACAYACU,RURAL
14,MORONA SANTIAGO,797,TIWINZA,1295,SAN JOSE DE MORONA,RURAL
9,GUAYAS,410,SANTA ELENA,1300,SAN JOSE DE ANCON,RURAL
8,ESMERALDAS,570,MUISNE,1305,GALERA,RURAL
10,IMBABURA,40,COTACACHI,1310,GARCIA MORENO / LLURIMAGUA,RURAL
4,CARCHI,25,BOLIVAR,1315,GARCIA MORENO,RURAL
18,TUNGURAHUA,140,PELILEO,1320,GARCIA MORENO,RURAL
6,CHIMBORAZO,225,PENIPE,1325,BILBAO,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1330,GENERAL FARFAN,RURAL
3,CANAR,240,CANAR,1335,GRAL.MORALES / SOCARTE,RURAL
9,GUAYAS,395,YAGUACHI,1340,GRAL.PEDRO MONTERO,RURAL
14,MORONA SANTIAGO,590,MORONA,1345,GRAL. PROAÑO,RURAL
9,GUAYAS,430,SALITRE,1350,GRAL. VERNAZA,RURAL
1,AZUAY,280,SIGSIG,1355,GIMA,RURAL
10,IMBABURA,35,OTAVALO,1360,GONZALEZ SUAREZ,RURAL
14,MORONA SANTIAGO,605,SANTIAGO,1365,SAN FCO. DE CHINIMBIMI,RURAL
6,CHIMBORAZO,220,CHUNCHI,1370,GONZOL,RURAL
18,TUNGURAHUA,90,TISALEO,1375,QUINCHICOTO,RURAL
11,LOJA,310,PALTAS,1380,GUACHANAMA,RURAL
7,EL ORO,370,PINAS,1385,SARACAY,RURAL
19,ZAMORA CHINCHIPE,655,ZAMORA,1390,GUADALUPE,RURAL
13,MANABI,495,PAJAN,1395,GUALE/STO.DOMINGO,RURAL
17,PICHINCHA,60,QUITO,1400,GUALEA,RURAL
11,LOJA,300,LOJA,1405,GUALEL,RURAL
3,CANAR,240,CANAR,1410,GUALLETURO,RURAL
6,CHIMBORAZO,200,GUANO,1415,GUANANDO,RURAL
7,EL ORO,360,ZARUMA,1420,GUANAZAN,RURAL
7,EL ORO,360,ZARUMA,1425,GUIZHAGUINA,RURAL
5,COTOPAXI,105,PUJILI,1430,GUANGAJE,RURAL
9,GUAYAS,125,COLIMES,1435,SAN JACINTO,RURAL
17,PICHINCHA,60,QUITO,1440,GUANGOPOLO,RURAL
3,CANAR,235,AZOGUES,1445,GUAPAN,RURAL
11,LOJA,815,CHAGUARPAMBA,1450,AMARILLOS,RURAL
1,AZUAY,275,PAUTE,1455,GUARAINAC,RURAL
12,LOS RIOS,520,BABA,1460,GUARE,RURAL
6,CHIMBORAZO,215,ALAUSI,1465,GUASUNTOS,RURAL
9,GUAYAS,385,EL EMPALME,1470,GUAYAS / PUERTO NUEVO,RURAL
17,PICHINCHA,60,QUITO,1475,GUAYLLABAMBA,RURAL
11,LOJA,290,CATAMAYO,1480,GUAYQUICHUMA,RURAL
5,COTOPAXI,100,LATACUNGA,1485,GUAYTACAMA,RURAL
1,AZUAY,280,SIGSIG,1490,GUEL,RURAL
11,LOJA,315,CELICA,1495,TNTE M.RODRIGUEZ LOAYZA,RURAL
5,COTOPAXI,825,LA MANA,1500,GUASAGANDA,RURAL
8,ESMERALDAS,565,ELOY ALFARO,1505,SAN JOSE DE CAYAPAS,RURAL
8,ESMERALDAS,565,ELOY ALFARO,1510,COLON ELOY DE MARIA,RURAL
8,ESMERALDAS,565,ELOY ALFARO,1515,TIMBIRE,RURAL
4,CARCHI,995,SAN PEDRO DE HUACA,1520,MARISCAL SUCRE,RURAL
12,LOS RIOS,515,BABAHOYO,1525,LA UNION,RURAL
8,ESMERALDAS,575,QUININDE,1530,LA UNION,RURAL
1,AZUAY,915,CHORDELEG,1535,LA UNION,RURAL
1,AZUAY,780,OÑA,1540,SUSUDEL,RURAL
13,MANABI,445,MONTECRISTI,1545,LA PILA,RURAL
11,LOJA,320,CALVAS,1550,SANGUILLIN,RURAL
21,SUCUMBIOS,626,CUYABENO,1555,AGUAS NEGRAS,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1560,EL DORADO,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1565,INES ARANGO,RURAL
13,MANABI,460,24 DE MAYO,1570,ARQ.SIXTO DURAN BALLEN,RURAL
1,AZUAY,915,CHORDELEG,1575,SAN MARTIN DE PUZHIO,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1580,ALEJANDRO,RURAL
1,AZUAY,915,CHORDELEG,1585,LUIS GALARZA O. (DELEGSOL),RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1590,EL EDEN,RURAL
9,GUAYAS,430,SALITRE,1595,JUNQUILLAL,RURAL
13,MANABI,230,FLAVIO ALFARO,1600,NOVILLO,RURAL
3,CANAR,240,CANAR,1605,HONORATO VASQUEZ,RURAL
13,MANABI,470,SANTA ANA,1610,HONORATO VASQUEZ,RURAL
8,ESMERALDAS,785,ATACAMES,1615,TONSUPA,RURAL
13,MANABI,230,FLAVIO ALFARO,1620,ZAPALLO,RURAL
18,TUNGURAHUA,135,AMBATO,1625,HUACHI GRANDE,RURAL
18,TUNGURAHUA,140,PELILEO,1630,HUAMBALO,RURAL
14,MORONA SANTIAGO,610,SUCUA,1635,HUAMBI,RURAL
9,GUAYAS,385,EL EMPALME,1640,EL ROSARIO,RURAL
11,LOJA,340,ESPINDOLA,1645,EL AIRO,RURAL
1,AZUAY,960,EL PAN,1650,SAN VICENTE,RURAL
7,EL ORO,360,ZARUMA,1655,HUERTAS,RURAL
6,CHIMBORAZO,215,ALAUSI,1660,HUIGRA,RURAL
7,EL ORO,355,SANTA ROSA,1665,BELLAMARIA,RURAL
9,GUAYAS,715,PEDRO CARBO,1670,SABANILLA,RURAL
19,ZAMORA CHINCHIPE,130,NANGARITZA,1675,ZURMI,RURAL
22,ORELLANA,935,LORETO,1680,SAN JOSE DE DAHUANO,RURAL
14,MORONA SANTIAGO,615,PALORA,1685,16 DE AGOSTO,RURAL
1,AZUAY,555,PUCARA,1690,SAN RAFAEL DE SHARUG,RURAL
7,EL ORO,375,ARENILLAS,1695,CARCABON,RURAL
7,EL ORO,360,ZARUMA,1700,SINSAO,RURAL
6,CHIMBORAZO,200,GUANO,1705,ILAPO,RURAL
10,IMBABURA,40,COTACACHI,1710,IMANTAG,RURAL
10,IMBABURA,45,ANTONIO ANTE,1715,IMBAYA,RURAL
14,MORONA SANTIAGO,600,LIMON INDANZA,1720,INDANZA,RURAL
3,CANAR,240,CANAR,1725,INGAPIRCA,RURAL
14,MORONA SANTIAGO,590,MORONA,1730,RIO BLANCO,RURAL
5,COTOPAXI,930,SIGCHOS,1735,ISINLIVI,RURAL
12,LOS RIOS,520,BABA,1740,ISLA DE BEJUCAL,RURAL
18,TUNGURAHUA,135,AMBATO,1745,IZAMBA,RURAL
7,EL ORO,360,ZARUMA,1750,SALVIAS,RURAL
17,PICHINCHA,85,STO. DGO. DE LOS CLDS,1755,LUZ DE AMERICA,RURAL
1,AZUAY,265,GUALACEO,1760,LUIS CORDERO VEGA,RURAL
4,CARCHI,5,TULCAN,1765,SANTA MARTHA DE CUBA,RURAL
19,ZAMORA CHINCHIPE,655,ZAMORA,1770,SAN CARLOS DE LAS MINAS,RURAL
3,CANAR,240,CANAR,1775,VENTURA,RURAL
11,LOJA,300,LOJA,1780,QUINARA,RURAL
14,MORONA SANTIAGO,925,SAN JUAN BOSCO,1785,SANTIAGO DE PANANZA,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1790,SANTA CECILIA,RURAL
21,SUCUMBIOS,625,LAGO AGRIO,1795,JAMBELI,RURAL
13,MANABI,450,MANTA,1800,SANTA MARIANITA,RURAL
1,AZUAY,265,GUALACEO,1805,JADAN,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1810,GARCIA MORENO,RURAL
7,EL ORO,355,SANTA ROSA,1815,JAMBELI,RURAL
22,ORELLANA,645,FCO.DE ORELLANA,1820,LA BELLEZA,RURAL
3,CANAR,235,AZOGUES,1825,JAVIER LOYOLA / CHUQUIPATA,RURAL
9,GUAYAS,435,NARANJAL,1830,JESUS MARIA,RURAL
4,CARCHI,20,MIRA,1835,JIJON Y CAAMANO,RURAL
11,LOJA,300,LOJA,1840,JIMBILLA,RURAL
11,LOJA,340,ESPINDOLA,1845,JIMBURA,RURAL
9,GUAYAS,405,SALINAS,1850,JOSE LUIS TAMAYO / MUEY,RURAL
9,GUAYAS,400,DAULE,1855,JUAN BAUTISTA AGUIRRE,RURAL
18,TUNGURAHUA,135,AMBATO,1860,JUAN BENIGNO VELA,RURAL
6,CHIMBORAZO,205,COLTA,1865,JUAN DE VELASCO / PONGOR,RURAL
9,GUAYAS,390,GUAYAQUIL,1870,JUAN GOMEZ RENDON,RURAL
4,CARCHI,20,MIRA,1875,JUAN MONTALVO,RURAL
13,MANABI,455,JIPIJAPA,1880,JULCUY,RURAL
