DIGNIDAD_CODIGO;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_ORDEN;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_CANTON_CODIGO;CANDIDATO_PARROQUIA_CODIGO;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_EDAD_EXACTA;CANDIDATO_GRUPOS_DE_EDAD;SUPLENTE_NOMBRE.1;SUPLENTE_SEXO.1;SUPLENTE_EDAD_EXACTA.1;SUPLENTE_GRUPO_DE_EDAD.1;SUPLENTE_NOMBRE.2;SUPLENTE_SEXO.2;SUPLENTE_EDAD_EXACTA.2;SUPLENTE_GRUPO_DE_EDAD.2
5;4;5208050000005;1;20;805;0;LARREA SALTOS JADIRA JHOMARA;2;25,1808219178082;1;ACOSTA ALCIVAR RODDY ANTONIO;1;37,3479452054795;2; ; ; ; 
5;5;5040200000010;1;4;20;0;LOPEZ ARROYO JAVIER ROLANDO;1;39,4164383561644;2;ACOSTA ARCINIEGA MARTHA ROSARIO;2;45,5671232876712;3; ; ; ; 
5;4;5040200000008;2;4;20;0;CRUZ GOMEZ SANDRA ELIZABETH;2;37,1205479452055;2;ACOSTA ARCINIEGA NORMA PATRICIA;2;32,5753424657534;2; ; ; ; 
5;11;5134500000052;2;13;450;0;MANTUANO MARTINEZ CARMEN LUCCIOLA;2;55,1178082191781;3;ACOSTA ARTEAGA ROSARIO ESTELITA;2;52,7342465753425;3; ; ; ; 
5;8;5098200000045;5;9;820;0;CAPELO MALDONADO MANUEL ALBERTO;1;37,4657534246575;2;ACOSTA CAJAPE IGNACIO MELECIO;1;50,8493150684931;3; ; ; ; 
5;8;5100300000043;3;10;30;0;CHAVEZ ROBLES ROCIO CUMANDA;2;51,7698630136986;3;ACOSTA CARAVALI LUCIA GUADALUPE;2;43,2301369863014;2; ; ; ; 
5;5;5094300000014;2;9;430;0;RIOS MALDONADO FAUSTO AMABLE;1;65,2082191780822;4;ACOSTA COELLO AUGUSTO AVELINO;1;63,9287671232877;3; ; ; ; 
7;11;7170000000167;13;17;0;0;RANGLES LARA ALICIA LOURDES DE JESUS;2;45,3123287671233;3;ACOSTA COLOMA IRENE JOSEFINA;2;56,772602739726;3; ; ; ; 
5;10;5134400000058;4;13;440;0;MERA PLAZA MARIA BEATRIZ;2;27,4493150684931;1;ACOSTA FARFAN TERESA ETELVINA;2;46,1885245901639;3; ; ; ; 
5;55;5125150000044;4;12;515;0;GUAILLAGUAMAN SILVA SEGUNDO CELIANO;1;72,2328767123288;4;ACOSTA JIMENEZ HECTOR ADAN;1;38,0546448087432;2; ; ; ; 
5;18011;5181550000025;1;18;155;0;RAMOS CANDO MANUEL MARIA;1;38,8904109589041;2;ACOSTA LESCANO JOSE SALVADOR;1;45,5616438356164;3; ; ; ; 
5;4002;5040200000028;1;4;20;0;DELGADO SALAZAR CESAR AUGUSTO;1;46,8767123287671;3;ACOSTA MINDA MARIA DORITA;2;42,0765027322404;2; ; ; ; 
5;5;5181350000020;2;18;135;0;TOAZA VELASCO LUIS ALBERTO;1;43,786301369863;2;ACOSTA MORALES MARIA GABRIELA;2;25,8743169398907;1; ; ; ; 
5;6005;5061950000077;2;6;195;0;SAMANIEGO NARANJO ROMULO ROBERTO;1;29,5287671232877;1;ACOSTA MORALES MIRIAM DEL ROCIO;2;34,551912568306;2; ; ; ; 
5;8;5125400000034;4;12;540;0;MORA AROCA ALEXANDRA CONSUELO;2;20,8027397260274;1;ACOSTA OLIVA SELMA GREXY;2;39,6602739726027;2; ; ; ; 
5;6;5051050000007;1;5;105;0;CHUGCHILAN SUNTASIG MANUEL;1;45,9234972677596;3;ACOSTA PEREZ WILMA LLOSED;2;27,3369863013699;1; ; ; ; 
5;11;5098200000064;4;9;820;0;BALDEON MIRANDA GONZALO JACINTO;1;29,558904109589;1;ACOSTA RODRIGUEZ MIGUEL ARCANGEL;1;53,9754098360656;3; ; ; ; 
3;5005;3050000000033;3;5;0;0;VACA ALVAREZ MIRIAN SILVANA;2;45,4547945205479;3;ACOSTA VELASTEGUI GERMANIA DE LOS ANGELES;2;31,7068493150685;2; ; ; ; 
7;3;7170000000040;12;17;0;0;ORTIZ YEPEZ DANIELA ALEJANDRA;2;25,8579234972678;1;ACOSTA ZARRIA DAVID FERNANDO;1;28,5452054794521;1; ; ; ; 
5;18014;5181350000054;6;18;135;0;JATIVA MANOBANDA DIANA MARIA;2;24,3397260273973;1;ACUÑA NARANJO DIEGO ALEJANDRO;1;23,9945205479452;1; ; ; ; 
5;9;5094000000031;3;9;400;0;ESPINOZA BOHORQUEZ FANNY MARISOL;2;45,0219178082192;3;ADRIAN TORRES MARIA DE LOURDES;2;46,8520547945205;3; ; ; ; 
5;48;5062000000003;3;6;200;0;CASTILLO SAMPEDRO ANGEL RICARDO;1;37,5397260273973;2;ADRIANO TIERRA HUGO RAUL;1;48,4328767123288;3; ; ; ; 
5;8;5029500000016;1;2;950;0;TARQUI COLINA GALO MARCIAL;1;57,4986301369863;3;ADRIANSE VICENTE JORGE;1;56,9068493150685;3; ; ; ; 
5;8;5094350000019;1;9;435;0;BARRERA ORDONEZ EDUARDO IVAN;1;39,0684931506849;2;AGILA BALCAZAR MELVO HIGINIO;1;62,9917808219178;3; ; ; ; 
5;5;5118150000010;1;11;815;0;TENEZACA SANCHEZ MEDARDO DAVID;1;44,4904109589041;2;AGILA MACAS WILSON GUILLERMO;1;41,0164383561644;2; ; ; ; 
5;3;5112900000007;1;11;290;0;SALAZAR VILLAFUERTE ELVIA SANDRA LEONOR;2;43,2904109589041;2;AGREDA AGREDA LOLO CONRADO;1;54,5765027322404;3; ; ; ; 
5;48;5181400000001;1;18;140;0;MEZA LLERENA CELSO VICENTE;1;40,2821917808219;2;AGUAGUIÑA LINDO MARCO SALOMON;1;52,7205479452055;3; ; ; ; 
5;6;5181400000011;2;18;140;0;POAQUIZA TUA EDGAR EDUARDO;1;31,7972602739726;2;AGUAGUIÑA MOPOSITA ADAN LEONARDO;1;45,6986301369863;3; ; ; ; 
5;3002;5032350000023;3;3;235;0;CAJAMARCA CRIOLLO NELLY ALEXANDRA;2;39,0712328767123;2;AGUAIZA GALABAY BETSABE MARGARITA;2;35,6575342465753;2; ; ; ; 
7;10;7180000000035;3;18;0;0;ACOSTA MARTINEZ NELLI MARGOD;2;45,7808219178082;3;AGUALONGO AGUALONGO MARIA ANGELINA;2;46,7786885245902;3; ; ; ; 
5;5;5021650000016;4;2;165;0;FLORES GUZMAN MARIA ELENA;2;41,4575342465753;2;AGUALONGO LOPEZ JOSE VICENTE;1;34,6693989071038;2; ; ; ; 
5;6;5145900000012;3;14;590;0;ROBALINO MONCAYO YOLANDA MONSERRAT;2;31,9013698630137;2;AGUANANCHI NUNGUY GUILLERMINA VIRGINIA;2;42,6366120218579;2; ; ; ; 
5;11;5093900000085;1;9;390;0;PERALTA LLANO LUIS DANIEL;1;32,2356164383562;2;AGUAS CHOEZ MARIO DAVID;1;28,2;1; ; ; ; 
5;3;5129460000007;1;12;946;0;DONOSO ANDRADE EDSON ALFREDO;1;37,4876712328767;2;AGUAYO BEJARANO NELLY LUZMILA;2;49,0219178082192;3; ; ; ; 
7;3;7090000000038;2;9;0;0;GARAY BAQUERIZO GLENDA YOLANDA;2;45,4767123287671;3;AGUAYO MEJIA GERMANIA ANNABELL;2;44,9287671232877;2; ; ; ; 
5;12001;5129460000029;2;12;946;0;EGAS MITE JOFFRE ALBERTO;1;23,4712328767123;1;AGUAYO VERA PEDRO SIXTO;1;40,5506849315069;2; ; ; ; 
5;48;5032450000003;3;3;245;0;OCHOA GONZALEZ PEDRO JAVIER;1;22,1885245901639;1;AGUAYZA ORTIZ JOSE FLORENCIO;1;55,9424657534247;3; ; ; ; 
3;2006;3020000000011;1;2;0;0;ARMIJOS NOBOA FABIAN RAUL;1;52,8082191780822;3;AGUIAR MONAR NIDIA ROSA;2;44,4246575342466;2; ; ; ; 
5;2007;5027600000023;2;2;760;0;ESPIN GAVILANES LUIS HUMBERTO;1;64,9534246575342;3;AGUILA ILVES HECTOR GERARDO;1;54,4426229508197;3; ; ; ; 
5;48;5029500000002;2;2;950;0;GARCIA CASTRO JHONY EDUARDO;1;32,7561643835616;2;AGUILA LLUMITAXI MARIO ALFONSO;1;29,4027397260274;1; ; ; ; 
3;15012;3150000000007;1;15;0;0;OÑA TOAQUIZA ANGEL REINALDO;1;45,2794520547945;3;AGUILA MARIA ENRIQUETA;2;35,1945205479452;2; ; ; ; 
5;2001;5021700000001;1;2;170;0;VILLAGRAN POVEDA MARIA ELENA;2;33,3479452054795;2;AGUILA VELASCO ANGEL GABRIEL;1;37,4;2; ; ; ; 
5;5;5027600000010;1;2;760;0;VELASCO GAROFALO WILMO ROBINZO;1;41,0246575342466;2;AGUILA ZAPATA GERARDO HUMBERTO;1;38,6803278688525;2; ; ; ; 
5;1;5078750000005;2;7;875;0;CARRION PAZAN RUTH CLEMENCIA;2;51,1369863013699;3;AGUILAR AGUILAR ELEUTERIO EDULFO;1;59,2958904109589;3; ; ; ; 
5;3;5012600000009;2;1;260;0;ESPINOZA MOSQUERA MARLON XAVIER;1;32,6383561643836;2;AGUILAR AGUILAR ROMAN WILFRIDO;1;50,2185792349727;3; ; ; ; 
7;1;7170000000027;13;17;0;0;ALDAZ DIAZ GIOVANNY ROBERTO;1;37,792349726776;2;AGUILAR ALAVA VERONICA YESSENIA;2;26,3005464480874;1; ; ; ; 
5;11001;5113000000069;4;11;300;0;CARRION GONZALEZ EVELYN PATRICIA;2;45,9344262295082;3;AGUILAR ALVARADO EUFEMIA MARIA;2;56,0931506849315;3; ; ; ; 
5;55;5125400000054;4;12;540;0;CARBO PENAFIEL MANUEL ANTONIO;1;48,9205479452055;3;AGUILAR ARTEAGA GLENDA JACKELINE;2;28,986301369863;1; ; ; ; 
5;6;5099850000015;3;9;985;0;RODRIGUEZ ASTUDILLO SEGUNDO GUILLERMO;1;62,3551912568306;3;AGUILAR ARTURO RAMIRO;1;49,3315068493151;3; ; ; ; 
5;56;5073600000025;1;7;360;0;CARRION TANDAZO EDUARDO FEDERICO;1;61,7671232876712;3;AGUILAR CARRION GONZALO FREDY;1;37,9945355191257;2; ; ; ; 
5;4;5078750000011;2;7;875;0;ROMERO ORELLANA CARLOS MANUEL;1;40,772602739726;2;AGUILAR CHAMBA FRANKLIN RODRIGO;1;30,2650273224044;2; ; ; ; 
5;3;5073500000017;5;7;350;0;NEIRA ALFONZO NESTOR JACINTO;1;43,1643835616438;2;AGUILAR CHIRIBOGA FLOR MARIA;2;51,5972602739726;3; ; ; ; 
5;48;5099200000003;3;9;920;0;GUARANDA BAJAÑA REINA ISABEL;2;20,7178082191781;1;AGUILAR CHOEZ LUISA BETHSY;2;35,227397260274;2; ; ; ; 
5;62;5134600000030;3;13;460;0;FIGUEROA VINCES CARLOS LUIS;1;38,8356164383562;2;AGUILAR FIGUEROA ZORAIDA ZULIMA;2;34,3497267759563;2; ; ; ; 
5;5005;5051000000060;5;5;100;0;CACERES CACERES DIEGO FERNANDO;1;23,5342465753425;1;AGUILAR FLORES ANDREA VERONICA;2;21,9180327868852;1; ; ; ; 
5;48;5073500000002;2;7;350;0;MATAMOROS BLACIO MILTON OMAR;1;49,7205479452055;3;AGUILAR GONZALEZ JORGE ENRIQUE;1;48,8712328767123;3; ; ; ; 
7;4;7190000000004;2;19;0;0;MERINO CUEVA FELIPE FRANCISCO;1;50,9506849315068;3;AGUILAR GONZALEZ LUIS ALBERTO;1;27,0054794520548;1; ; ; ; 
5;17004;5170600000114;2;17;60;0;DUEÑAS NOVOA RICARDO MARCELO;1;34,7377049180328;2;AGUILAR GUERRA JENNIFER ALEXANDRA;2;32,7753424657534;2; ; ; ; 
3;16;3090000000083;5;9;0;0;ARELLANO GARCIA PEDRO AURELIO;1;67,4246575342466;4;AGUILAR INIGUEZ EDULFO ROGACIANO;1;66,9178082191781;4; ; ; ; 
5;6;5073600000010;1;7;360;0;ESTRADA ESPINOSA GLENDA MARIA;2;42,7540983606557;2;AGUILAR JAIME RAMIRO;1;34,5792349726776;2; ; ; ; 
3;11;3170000000058;3;17;0;0;NAJERA BASTIDAS ALEX PAUL;1;29,241095890411;1;AGUILAR LEON CARLOS ALBERTO;1;45,5150684931507;3; ; ; ; 
5;6;5073500000032;2;7;350;0;GRANDA HERRERA PATRICIA ALEXANDRA;2;33,0027397260274;2;AGUILAR LUDENA KLEBER BOLIVAR;1;35,1369863013699;2; ; ; ; 
3;4;3070000000015;3;7;0;0;VALDIVIEZO TOLEDO LORGIA ESPERANZA;2;45,186301369863;3;AGUILAR MALDONADO TANIA VIVIANA;2;26,958904109589;1; ; ; ; 
5;7;5073600000013;1;7;360;0;FERNANDEZ CASTRO VICTOR HUGO;1;55,7315068493151;3;AGUILAR MORA JOSE FEDERICO;1;38,1147540983607;2; ; ; ; 
5;11;5170600000078;1;17;60;0;GORDON ORMAZA ROBERTO EFRAIN;1;31,9945205479452;2;AGUILAR MUÑOZ JORGE RENATO;1;27,3178082191781;1; ; ; ; 
3;6;3120000000023;3;12;0;0;CAMPOZANO CABALLERO MARIA DEL CARMEN;2;46,3251366120219;3;AGUILAR MURILLO FLOR MARIA;2;38,0628415300546;2; ; ; ; 
5;9;5216250000022;1;21;625;0;SOLORZANO REYES AMADA CONCEPCION;2;45,9344262295082;3;AGUILAR NUNEZ TELMO HERNANDES;1;47,2109589041096;3; ; ; ; 
5;17;5125400000049;4;12;540;0;RODRIGUEZ ANGULO DOMINGA ERNESTINA;2;43,027397260274;2;AGUILAR OLINDA ANGELICA;2;47,3232876712329;3; ; ; ; 
3;1;3070000000005;1;7;0;0;GAVILANES ORDONEZ JOSE REINALDO;1;58,5163934426229;3;AGUILAR ORDONEZ LUIS RAMIRO;1;50,9506849315068;3; ; ; ; 
5;19001;5196700000015;1;19;670;0;GUAYA DELGADO MONICA JANETH;2;29,6821917808219;1;AGUILAR PEÑAFIEL ROSA ELVIRA;2;30,7786885245902;2; ; ; ; 
5;11001;5113110000025;1;11;311;0;ARMIJOS ROBLES MARCIA MARIA;2;31,6904109589041;2;AGUILAR REYES JOSE ELIBERTO;1;58,1229508196721;3; ; ; ; 
3;6;3070000000022;2;7;0;0;VALAREZO ORDOÑEZ ROCIO DEL CARMEN;2;46,7513661202186;3;AGUILAR ROJAS NORMA JUDITH;2;41,786301369863;2; ; ; ; 
5;11;5134500000055;5;13;450;0;MIELES MENDOZA RICHARD ALFONSO;1;36,8876712328767;2;AGUILAR SANCHEZ JESSICA ALEXANDRA;2;31,5342465753425;2; ; ; ; 
5;8;5188450000015;3;18;845;0;SANCHEZ PEREZ BYRON GERARDO;1;22,2650273224044;1;AGUILAR VILLALVA HERNAN ANTONIO;1;37,1616438356164;2; ; ; ; 
5;9002;5094200000068;3;9;420;0;TORRES FRIAS JESSICA ANDREA;2;21,3095890410959;1;AGUILERA GARCIA JEISON ANTONIO;1;24,4054794520548;1; ; ; ; 
5;9;5098350000025;1;9;835;0;FUENTES VALERO HOLGER ELIAS;1;52,2383561643836;3;AGUILLON VALLEJO LUCIANO IRIS;1;44,1205479452055;2; ; ; ; 
5;15009;5156200000020;2;15;620;0;GARRIDO BELALCAZAR WILMA CECIBEL;2;42,6530054644809;2;AGUINDA ANDI RAMIRO ANIBAL;1;30,3497267759563;2; ; ; ; 
3;21009;3210000000018;2;21;0;0;TINOCO FEIJOO YESMAN CERVILIO;1;35,5835616438356;2;AGUINDA COQUINCHE FELIPE GERMAN;1;46,1885245901639;3; ; ; ; 
5;22006;5229350000012;2;22;935;0;CURIPOMA SIZALIMA LUIS ALFREDO;1;46,9753424657534;3;AGUINDA COQUINCHE MANUEL ALEJANDRO;1;39,2465753424658;2; ; ; ; 
3;62;3010000000049;1;1;0;0;ORTEGA CAMPOVERDE CONSEPCION AIDA;2;56,0520547945206;3;AGUIRRE AUCAPINA ALFONSO MARIA;1;68,8849315068493;4; ; ; ; 
7;24;7170000000110;12;17;0;0;AULES CENTENO DORA MERCY;2;29,5698630136986;1;AGUIRRE BUSTAMANTE DORIS MARGARITA;2;49,0219178082192;3; ; ; ; 
5;5;5100450000010;1;10;45;0;CEVALLOS TERAN EDGAR RUBEN;1;58,1120218579235;3;AGUIRRE CALDERON SEGUNDO CESAR;1;55,0520547945206;3; ; ; ; 
5;62;5012600000089;5;1;260;0;VILLA MENESES ANGEL RUBEN;1;47,2082191780822;3;AGUIRRE CORNEJO JUAN ENRIQUE;1;45,6684931506849;3; ; ; ; 
7;17;7220000000015;1;22;0;0;FLORES GONZA EDGAR WILSON;1;32,2191780821918;2;AGUIRRE COX CARLOS MIGUEL;1;57,8415300546448;3; ; ; ; 
3;11;3170000000060;5;17;0;0;TRUJILLO RAMIREZ VICTOR HUGO;1;56,7068493150685;3;AGUIRRE ESPARZA MONICA MARIBEL;2;39,772602739726;2; ; ; ; 
5;5;5170600000029;1;17;60;0;DE JANON BUCHELI CARMEN ELENA;2;47,372602739726;3;AGUIRRE GRIJALVA CARLOS SANTIAGO;1;38,6448087431694;2; ; ; ; 
5;71;5100500000014;2;10;50;0;TERAN NARVAEZ CAROLINA FERNANDA;2;24,9698630136986;1;AGUIRRE HIDALGO OLGA LIDIA;2;31,2054794520548;2; ; ; ; 
5;71;5113350000013;1;11;335;0;CAMACHO CAMACHO BINICIO GAVIEL;1;37,3561643835616;2;AGUIRRE MATAILO JORGE LUIS;1;25,4630136986301;1; ; ; ; 
7;5;7100000000010;1;10;0;0;MAYA MONTESDEOCA CESAR RODOLFO;1;64,2191780821918;3;AGUIRRE NARVAEZ NELSON RENE;1;43,7972602739726;2; ; ; ; 
7;5;7090000000086;14;9;0;0;QUIÑONEZ MEDINA CESAR HABACUC;1;47,7479452054795;3;AGUIRRE PROANO CRISTHIAN MIGUEL ANTONIO;1;47,1753424657534;3; ; ; ; 
7;11002;7110000000022;2;11;0;0;ORELLANA OCHOA EDUARDO ENRIQUE;1;45,9426229508197;3;AGUIRRE REYES DANIEL FERNANDO;1;27,1972602739726;1; ; ; ; 
7;1;7220000000003;1;22;0;0;HINOJOSA FRANKLIN BENITO;1;40,6575342465753;2;AGUIRRE RUEDA JESUS ELVIRA;2;42,8904109589041;2; ; ; ; 
5;4;5073500000021;3;7;350;0;FADUL SERRANO OLIVA NARCISA MAGDALENA;2;49,5041095890411;3;AGUIRRE SALAZAR SARA MARIA;2;23,3397260273973;1; ; ; ; 
5;4;5100450000007;1;10;45;0;VINUEZA CHIRIBOGA CESAR MARCELO;1;43,2054794520548;2;AGUIRRE SANCHEZ VERONICA DEL CARMEN;2;32,5643835616438;2; ; ; ; 
7;11;7170000000168;14;17;0;0;VIÑA MOSQUERA JULIO ERNESTO;1;46,9671232876712;3;AGUIRRE SOSA CARLOS ALBERTO;1;40,1452054794521;2; ; ; ; 
3;56;3110000000031;1;11;0;0;CHAVEZ VALDIVIESO ROMULO ANTONIO;1;56,3972602739726;3;AGUIRRE TORRES GORKI DIMITROV;1;36,5561643835616;2; ; ; ; 
5;10;5216250000025;1;21;625;0;POMA HERRERA YOFRE MARTIN;1;28,2301369863014;1;AGURTO LUZURIAGA RAMIRO DANILO;1;33,1232876712329;2; ; ; ; 
5;8;5112950000018;3;11;295;0;REQUENES GUTIERREZ JOSE GREGORIO;1;38,8082191780822;2;AGURTO ROGEL JUAN ADALBERTO;1;39,3835616438356;2; ; ; ; 
5;55;5156200000023;2;15;620;0;GUAMAN PELAGALLO ZOILA ROSA;2;48,0301369863014;3;AHOÑA GOMEZ NIEVES ZULMIRA;2;44,2027397260274;2; ; ; ; 
5;6006;5062000000034;1;6;200;0;PIÑA LOPEZ DANIEL;1;47,627397260274;3;AILLA PALAG MARIA ROSARIO;2;31,027397260274;2; ; ; ; 
5;1;5062250000005;2;6;225;0;CAMACHO ROMERO MYRIAM FABIOLA;2;21,5917808219178;1;AIMACAÑA BONIFAZ LUIS FERNANDO;1;30,0327868852459;2; ; ; ; 
5;22014;5226450000008;2;22;645;0;ALVARADO CHIMBO ROSARIO MARGARITA;2;38,2103825136612;2;AJILA MARIA RADEGUNDA;2;41,7095890410959;2; ; ; ; 
5;5;5177700000004;1;17;770;0;OROZCO REVILLA PABLO FILIMON;1;46,6120218579235;3;AJILA MAZA LUIS BERNARDINO;1;47,2958904109589;3; ; ; ; 
5;6;5094250000017;2;9;425;0;KRONFLE CATALAN ANDREA STEFANIA;2;22,7158469945355;1;AJOY CHANG YOLANDA ELIZABETH;2;58,6912568306011;3; ; ; ; 
